low, high , selection0_bin0_pdf, selection0_bin0_cdf, selection0_bin1_pdf, selection0_bin1_cdf, selection0_bin2_pdf, selection0_bin2_cdf, selection0_bin3_pdf, selection0_bin3_cdf, selection0_bin4_pdf, selection0_bin4_cdf, selection0_bin5_pdf, selection0_bin5_cdf, selection1_bin0_pdf, selection1_bin0_cdf, selection1_bin1_pdf, selection1_bin1_cdf, selection1_bin2_pdf, selection1_bin2_cdf, selection1_bin3_pdf, selection1_bin3_cdf, selection1_bin4_pdf, selection1_bin4_cdf, selection1_bin5_pdf, selection1_bin5_cdf
-0.100000,-0.098000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049083,0.000098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.098000,-0.096000,0.014418,0.000029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.057263,0.000213,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.096000,-0.094000,0.000000,0.000029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.057263,0.000327,0.000000,0.000000,0.000000,0.000000,0.147275,0.000295,0.000000,0.000000,0.000000,0.000000
-0.094000,-0.092000,0.000000,0.000029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049083,0.000425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000295,0.000000,0.000000,0.000000,0.000000
-0.092000,-0.090000,0.014418,0.000058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032722,0.000491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000295,0.000000,0.000000,0.000000,0.000000
-0.090000,-0.088000,0.014418,0.000087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089985,0.000671,0.000000,0.000000,0.000000,0.000000,0.147275,0.000589,0.000000,0.000000,0.000000,0.000000
-0.088000,-0.086000,0.000000,0.000087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049083,0.000769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000589,0.000000,0.000000,0.000000,0.000000
-0.086000,-0.084000,0.014418,0.000115,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.081805,0.000933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000589,0.000000,0.000000,0.000000,0.000000
-0.084000,-0.082000,0.000000,0.000115,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.106346,0.001145,0.069493,0.000139,0.000000,0.000000,0.000000,0.000589,0.000000,0.000000,0.000000,0.000000
-0.082000,-0.080000,0.028836,0.000173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.212693,0.001571,0.069493,0.000278,0.000000,0.000000,0.441826,0.001473,0.000000,0.000000,0.000000,0.000000
-0.080000,-0.078000,0.028836,0.000231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130888,0.001832,0.000000,0.000278,0.000000,0.000000,0.000000,0.001473,0.000000,0.000000,0.000000,0.000000
-0.078000,-0.076000,0.028836,0.000288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.147249,0.002127,0.069493,0.000417,0.000000,0.000000,0.000000,0.001473,0.000000,0.000000,0.000000,0.000000
-0.076000,-0.074000,0.072090,0.000433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.269956,0.002667,0.000000,0.000417,0.000000,0.000000,0.000000,0.001473,0.000000,0.000000,0.000000,0.000000
-0.074000,-0.072000,0.100926,0.000634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.286317,0.003239,0.069493,0.000556,0.000000,0.000000,0.000000,0.001473,0.000000,0.000000,0.000000,0.000000
-0.072000,-0.070000,0.086508,0.000807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343581,0.003927,0.000000,0.000556,0.110595,0.000221,0.000000,0.001473,0.231803,0.000464,0.000000,0.000000
-0.070000,-0.068000,0.158597,0.001125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.458108,0.004843,0.000000,0.000556,0.110595,0.000442,0.147275,0.001767,0.000000,0.000464,0.000000,0.000000
-0.068000,-0.066000,0.043254,0.001211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.531732,0.005906,0.208478,0.000973,0.000000,0.000442,0.294551,0.002356,0.000000,0.000464,0.000000,0.000000
-0.066000,-0.064000,0.115344,0.001442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433566,0.006773,0.138985,0.001251,0.000000,0.000442,0.000000,0.002356,0.000000,0.000464,0.451671,0.000903
