Axis,Line Label,X,Y,Marker,Marker Size,Marker Face Color,Marker Edge Color
Axes 1,$69.3 < \lambda \leq 140$,-228.29851703406814,0.0028695129144484153,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-224.69380360721448,0.003096209640000023,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-221.08909018036076,0.0033406703747399197,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-217.48437675350704,0.0036061713070318184,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-213.87966332665331,0.0038957616332142733,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-210.2749498997996,0.004212174048198269,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-206.67023647294593,0.0045579453423040305,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-203.0655230460922,0.004935738419642753,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-199.4608096192385,0.005348805885264304,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-195.85609619238477,0.005801493415875573,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-192.2513827655311,0.006299657874724538,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-188.64666933867738,0.006850876503019356,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-185.04195591182366,0.007464350655221007,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-181.43724248496994,0.00815045640279728,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-177.83252905811628,0.00891995636671282,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-174.22781563126256,0.009782950920404031,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-170.62310220440884,0.0107477003676839,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-167.01838877755512,0.011819482596262493,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-163.4136753507014,0.01299965671756012,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-159.80896192384773,0.01428508121485075,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-156.204248496994,0.015667989353692888,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-152.5995350701403,0.017136363540262944,None,6.0,#FFA600,#FFA600
