sample,low,high,density
1,0.002666,0.003276,28.915656
1,0.003276,0.003886,19.743486
1,0.003886,0.004497,13.447499
1,0.004497,0.005107,9.794013
1,0.005107,0.005717,7.073454
1,0.005717,0.006327,5.829841
1,0.006327,0.006937,4.741546
1,0.006937,0.007547,5.441118
1,0.007547,0.008157,4.508410
1,0.008157,0.008767,3.886513
1,0.008767,0.009377,4.119704
1,0.009377,0.009988,4.352948
1,0.009988,0.010598,4.352894
1,0.010598,0.011208,5.207927
1,0.011208,0.011818,5.285722
1,0.011818,0.012428,4.819276
1,0.012428,0.013038,3.964243
1,0.013038,0.013648,3.808829
1,0.013648,0.014258,4.663816
1,0.014258,0.014869,5.207927
1,0.014869,0.015479,4.741604
1,0.015479,0.016089,3.575592
1,0.016089,0.016699,3.731052
1,0.016699,0.017309,5.052467
1,0.017309,0.017919,3.186980
1,0.017919,0.018529,3.653322
1,0.018529,0.019139,4.197434
1,0.019139,0.019749,3.264711
1,0.019749,0.020360,3.575592
1,0.020360,0.020970,3.497862
1,0.020970,0.021580,3.964292
1,0.021580,0.022190,2.565099
1,0.022190,0.022800,3.808783
1,0.022800,0.023410,2.565130
1,0.023410,0.024020,3.109210
1,0.024020,0.024630,3.109210
1,0.024630,0.025241,3.653367
1,0.025241,0.025851,3.731052
1,0.025851,0.026461,3.964243
1,0.026461,0.027071,3.264711
1,0.027071,0.027681,2.798289
1,0.027681,0.028291,3.497862
1,0.028291,0.028901,3.420173
1,0.028901,0.029511,3.186941
1,0.029511,0.030121,2.720559
1,0.030121,0.030732,3.264711
1,0.030732,0.031342,3.653322
1,0.031342,0.031952,2.409638
1,0.031952,0.032562,2.176474
1,0.032562,0.033172,2.487368
1,0.033172,0.033782,2.720559
1,0.033782,0.034392,3.264671
1,0.034392,0.035002,3.186980
1,0.035002,0.035613,2.642829
1,0.035613,0.036223,2.098717
1,0.036223,0.036833,2.798323
1,0.036833,0.037443,2.876020
1,0.037443,0.038053,3.109210
1,0.038053,0.038663,2.331936
1,0.038663,0.039273,1.632335
1,0.039273,0.039883,2.487368
1,0.039883,0.040493,2.409638
1,0.040493,0.041104,2.021011
1,0.041104,0.041714,2.098743
1,0.041714,0.042324,2.020962
1,0.042324,0.042934,2.331936
1,0.042934,0.043544,1.243699
1,0.043544,0.044154,1.321398
1,0.044154,0.044764,2.798323
1,0.044764,0.045374,1.865549
1,0.045374,0.045985,1.787774
1,0.045985,0.046595,1.710087
1,0.046595,0.047205,2.098743
1,0.047205,0.047815,2.020962
1,0.047815,0.048425,0.932774
1,0.048425,0.049035,1.165968
1,0.049035,0.049645,1.865503
1,0.049645,0.050255,2.409667
1,0.050255,0.050865,1.399162
1,0.050865,0.051476,1.476857
1,0.051476,0.052086,0.855043
1,0.052086,0.052696,1.710087
1,0.052696,0.053306,0.855022
1,0.053306,0.053916,0.699581
1,0.053916,0.054526,1.321431
1,0.054526,0.055136,0.699564
1,0.055136,0.055746,1.010506
1,0.055746,0.056357,1.243669
1,0.056357,0.056967,1.088237
1,0.056967,0.057577,1.943280
1,0.057577,0.058187,1.243669
1,0.058187,0.058797,0.855043
1,0.058797,0.059407,0.466387
1,0.059407,0.060017,0.777293
1,0.060017,0.060627,0.544118
1,0.060627,0.061238,0.855043
1,0.061238,0.061848,0.544105
1,0.061848,0.062458,0.777312
1,0.062458,0.063068,0.233194
1,0.063068,0.063678,0.544105
1,0.063678,0.064288,0.621850
1,0.064288,0.064898,0.699581
1,0.064898,0.065508,0.699564
1,0.065508,0.066118,0.466387
1,0.066118,0.066729,0.310925
1,0.066729,0.067339,0.310917
1,0.067339,0.067949,0.155462
1,0.067949,0.068559,0.699581
1,0.068559,0.069169,0.466376
1,0.069169,0.069779,0.233194
1,0.069779,0.070389,0.233194
1,0.070389,0.070999,0.310917
1,0.070999,0.071610,0.466387
1,0.071610,0.072220,0.233194
1,0.072220,0.072830,0.077729
